Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
16	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
190	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
213	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
219	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
223	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
249	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
257	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
265	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
271	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
287	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
288	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
289	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
295	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
297	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
299	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
313	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317	20.0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
